Employee Number,Attrition,AgeBand,Age,Department,Education,Education Field,Gender,JobRole,MaritalStatus,BusinessTravel,OverTime,TrainingTimesLastYear,DailyRate,DistanceFromHome,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
81,No,Over 55,59,Sales,Bachelor's Degree,Life Sciences,Female,Sales Executive,Single,Travel_Rarely,No,3,1435,25,1,99,3,3,1,7637,2354,7,11,3,4,0,28,2,21,16,7,9
83,No,35 - 44,36,R&D,Bachelor's Degree,Technical Degree,Female,Healthcare Representative,Divorced,Travel_Rarely,No,2,1223,8,3,59,3,3,3,10096,8202,1,13,3,2,3,17,3,17,14,12,8
84,No,Over 55,55,R&D,Bachelor's Degree,Medical,Female,Manager,Divorced,Travel_Rarely,Yes,2,836,8,4,33,3,4,3,14756,19730,2,14,3,3,3,21,3,5,0,0,2
85,No,35 - 44,36,R&D,Bachelor's Degree,Life Sciences,Male,Manufacturing Director,Single,Travel_Frequently,No,3,1195,11,2,95,2,2,2,6499,22656,1,13,3,3,0,6,3,6,5,0,3
86,No,45 - 54,45,R&D,Bachelor's Degree,Life Sciences,Male,Research Scientist,Divorced,Travel_Rarely,No,2,1339,7,2,59,3,3,1,9724,18787,2,17,3,3,1,25,3,1,0,0,0
88,No,35 - 44,35,R&D,Bachelor's Degree,Medical,Male,Research Scientist,Married,Travel_Frequently,No,2,664,1,2,79,3,1,1,2194,5868,4,13,3,4,1,5,2,3,2,1,2
90,Yes,35 - 44,36,R&D,Bachelor's Degree,Medical,Male,Research Scientist,Married,Travel_Rarely,Yes,0,318,9,4,79,2,1,3,3388,21777,0,17,3,1,1,2,2,1,0,0,0
91,No,Over 55,59,Sales,High School,Life Sciences,Female,Sales Executive,Single,Travel_Frequently,No,2,1225,1,1,57,2,2,3,5473,24668,7,11,3,4,0,20,2,4,3,1,3
94,No,25 - 34,29,R&D,Bachelor's Degree,Life Sciences,Male,Research Scientist,Married,Travel_Rarely,No,3,1328,2,3,76,3,1,2,2703,4956,0,23,4,4,1,6,3,5,4,0,4
95,No,25 - 34,31,R&D,Master's Degree,Medical,Male,Research Scientist,Single,Travel_Rarely,No,4,1082,1,3,87,3,1,2,2501,18775,1,17,3,2,0,1,3,1,1,1,0
96,No,25 - 34,32,R&D,Bachelor's Degree,Life Sciences,Male,Research Scientist,Married,Travel_Rarely,No,3,548,1,2,66,3,2,2,6220,7346,1,17,3,2,2,10,3,10,4,0,9
97,No,35 - 44,36,R&D,Bachelor's Degree,Life Sciences,Female,Laboratory Technician,Married,Travel_Rarely,No,3,132,6,2,55,4,1,4,3038,22002,3,12,3,2,0,5,3,1,0,0,0
98,No,25 - 34,31,R&D,Master's Degree,Life Sciences,Female,Manufacturing Director,Single,Travel_Rarely,No,2,746,8,3,61,3,2,4,4424,20682,1,23,4,4,0,11,3,11,7,1,8
100,No,35 - 44,35,Sales,Master's Degree,Marketing,Male,Sales Executive,Single,Travel_Rarely,No,2,776,1,3,32,2,2,1,4312,23016,0,14,3,2,0,16,3,15,13,2,8
101,No,45 - 54,45,R&D,Master's Degree,Other,Male,Research Director,Married,Travel_Rarely,Yes,3,193,6,4,52,3,3,1,13245,15067,4,14,3,2,0,17,4,0,0,0,0
102,No,35 - 44,37,R&D,Master's Degree,Medical,Male,Research Director,Single,Travel_Rarely,No,3,397,7,1,30,3,3,3,13664,25258,4,13,3,1,0,16,4,5,2,0,2
103,No,45 - 54,46,HR,Associates Degree,Medical,Male,Human Resources,Divorced,Travel_Rarely,Yes,2,945,5,2,80,3,2,2,5021,10425,8,22,4,4,1,16,3,4,2,0,2
104,No,25 - 34,30,R&D,High School,Life Sciences,Male,Laboratory Technician,Married,Travel_Rarely,Yes,1,852,1,4,55,2,2,4,5126,15998,1,12,3,3,2,10,2,10,8,3,0
105,No,35 - 44,35,R&D,Bachelor's Degree,Medical,Male,Research Scientist,Single,Travel_Rarely,No,3,1214,1,2,30,2,1,3,2859,26278,1,18,3,1,0,6,3,6,4,0,4
106,No,Over 55,55,Sales,Associates Degree,Life Sciences,Male,Sales Executive,Married,Travel_Rarely,No,4,111,1,1,70,3,3,4,10239,18092,3,14,3,4,1,24,3,1,0,1,0
107,No,35 - 44,38,R&D,Bachelor's Degree,Medical,Female,Research Scientist,Divorced,Non-Travel,Yes,3,573,6,2,79,1,2,4,5329,15717,7,12,3,4,3,17,3,13,11,1,9
110,No,25 - 34,34,R&D,Associates Degree,Medical,Male,Manufacturing Director,Married,Travel_Rarely,No,2,1153,1,1,94,3,2,2,4325,17736,1,15,3,3,0,5,3,5,2,1,3
112,No,Over 55,56,R&D,Bachelor's Degree,Life Sciences,Male,Manufacturing Director,Single,Travel_Rarely,No,3,1400,7,4,49,1,3,4,7260,21698,4,11,3,1,0,37,2,6,4,0,2
113,No,Under 25,23,Sales,High School,Technical Degree,Male,Sales Representative,Divorced,Travel_Rarely,No,3,541,2,3,62,3,1,1,2322,9518,3,13,3,3,1,3,3,0,0,0,0
116,No,45 - 54,51,R&D,Master's Degree,Life Sciences,Male,Laboratory Technician,Married,Travel_Rarely,No,4,432,9,4,96,3,1,4,2075,18725,3,23,4,2,2,10,3,4,2,0,3
117,No,25 - 34,30,R&D,Bachelor's Degree,Life Sciences,Male,Healthcare Representative,Married,Travel_Rarely,No,3,288,2,3,99,2,2,4,4152,15830,1,19,3,1,3,11,3,11,10,10,8
118,Yes,45 - 54,46,Sales,Associates Degree,Medical,Male,Sales Executive,Single,Travel_Rarely,No,3,669,9,3,64,2,3,4,9619,13596,1,16,3,4,0,9,3,9,8,4,7
119,No,35 - 44,40,R&D,Master's Degree,Life Sciences,Male,Healthcare Representative,Married,Travel_Frequently,No,3,530,1,3,78,2,4,2,13503,14115,1,22,4,4,1,22,2,22,3,11,11
120,No,45 - 54,51,Sales,Master's Degree,Marketing,Male,Sales Executive,Single,Travel_Rarely,Yes,2,632,21,3,71,3,2,4,5441,8423,0,22,4,4,0,11,1,10,7,1,0
121,No,25 - 34,30,Sales,Associates Degree,Medical,Female,Sales Executive,Divorced,Travel_Rarely,Yes,4,1334,4,3,63,2,2,2,5209,19760,1,12,3,2,3,11,2,11,8,2,7
124,No,45 - 54,46,R&D,Bachelor's Degree,Medical,Male,Healthcare Representative,Married,Travel_Frequently,Yes,5,638,1,3,40,2,3,1,10673,3142,2,13,3,3,1,21,2,10,9,9,5
125,No,25 - 34,32,Sales,Master's Degree,Medical,Male,Sales Executive,Single,Travel_Rarely,No,0,1093,6,2,87,3,2,3,5010,24301,1,16,3,1,0,12,3,11,8,5,7
126,No,45 - 54,54,R&D,Master's Degree,Technical Degree,Female,Research Director,Married,Travel_Rarely,No,5,1217,2,1,60,3,3,3,13549,24001,9,12,3,1,1,16,1,4,3,0,3
128,No,Under 25,24,Sales,Associates Degree,Other,Female,Sales Executive,Married,Travel_Rarely,No,2,1353,3,1,33,3,2,3,4999,17519,0,21,4,1,1,4,2,3,2,0,2
129,No,25 - 34,28,Sales,Bachelor's Degree,Medical,Male,Sales Executive,Married,Non-Travel,No,3,120,4,2,43,3,2,3,4221,8863,1,15,3,2,0,5,4,5,4,0,4
131,No,Over 55,58,Sales,Master's Degree,Medical,Male,Sales Executive,Single,Travel_Rarely,No,1,682,10,4,37,3,4,3,13872,24409,0,13,3,3,0,38,2,37,10,1,8
132,No,35 - 44,44,R&D,Bachelor's Degree,Medical,Male,Laboratory Technician,Married,Non-Travel,No,3,489,23,2,67,3,2,2,2042,25043,4,12,3,3,1,17,4,3,2,1,2
133,Yes,35 - 44,37,HR,Master's Degree,Human Resources,Male,Human Resources,Divorced,Travel_Rarely,Yes,3,807,6,3,63,3,1,1,2073,23648,4,22,4,4,0,7,3,3,2,0,2
134,No,25 - 34,32,R&D,High School,Life Sciences,Male,Research Scientist,Single,Travel_Rarely,No,2,827,1,4,71,3,1,1,2956,15178,1,13,3,4,0,1,3,1,0,0,0
137,Yes,Under 25,20,R&D,Bachelor's Degree,Life Sciences,Female,Laboratory Technician,Single,Travel_Frequently,Yes,5,871,6,4,66,2,1,4,2926,19783,1,18,3,2,0,1,3,1,0,1,0
138,No,25 - 34,34,R&D,Master's Degree,Other,Female,Research Scientist,Single,Travel_Rarely,No,3,665,6,1,41,3,2,3,4809,12482,1,14,3,3,0,16,3,16,13,2,10
139,No,35 - 44,37,R&D,Associates Degree,Life Sciences,Male,Healthcare Representative,Divorced,Non-Travel,No,2,1040,2,3,100,2,2,4,5163,15850,5,14,3,4,1,17,4,1,0,0,0
140,No,Over 55,59,HR,Master's Degree,Human Resources,Female,Manager,Married,Non-Travel,No,3,1420,2,3,32,2,5,4,18844,21922,9,21,4,4,1,30,3,3,2,2,2
141,No,45 - 54,50,R&D,Bachelor's Degree,Life Sciences,Female,Research Director,Married,Travel_Frequently,Yes,1,1115,1,1,73,3,5,2,18172,9755,3,19,3,1,0,28,2,8,3,0,7
142,Yes,25 - 34,25,Sales,Bachelor's Degree,Marketing,Male,Sales Executive,Single,Travel_Rarely,Yes,1,240,5,3,46,2,2,3,5744,26959,1,11,3,4,0,6,3,6,4,0,3
143,No,25 - 34,25,R&D,High School,Medical,Male,Research Scientist,Married,Travel_Rarely,No,2,1280,7,4,64,2,1,4,2889,26897,1,11,3,3,2,2,3,2,2,2,1
144,No,Under 25,22,R&D,Bachelor's Degree,Medical,Female,Laboratory Technician,Single,Travel_Rarely,No,5,534,15,2,59,3,1,4,2871,23785,1,15,3,3,0,1,3,0,0,0,0
145,No,45 - 54,51,R&D,Master's Degree,Medical,Female,Healthcare Representative,Single,Travel_Frequently,No,1,1456,1,1,30,2,3,1,7484,25796,3,20,4,3,0,23,2,13,12,12,8
147,Yes,25 - 34,34,R&D,Bachelor's Degree,Life Sciences,Male,Laboratory Technician,Single,Travel_Frequently,Yes,3,658,7,1,66,1,2,3,6074,22887,1,24,4,4,0,9,3,9,7,0,6
148,No,45 - 54,54,HR,Bachelor's Degree,Human Resources,Female,Manager,Single,Non-Travel,Yes,3,142,26,4,30,4,4,4,17328,13871,2,12,3,3,0,23,3,5,3,4,4
150,No,Under 25,24,R&D,High School,Life Sciences,Male,Laboratory Technician,Married,Travel_Rarely,No,2,1127,18,2,52,3,1,3,2774,13257,0,12,3,3,1,6,3,5,3,1,2
151,No,25 - 34,34,R&D,Master's Degree,Life Sciences,Female,Research Scientist,Divorced,Travel_Rarely,No,3,1031,6,3,45,2,2,2,4505,15000,6,15,3,3,1,12,3,1,0,0,0
152,No,35 - 44,37,Sales,Bachelor's Degree,Life Sciences,Male,Sales Executive,Single,Travel_Rarely,No,3,1189,3,3,87,3,3,4,7428,14506,2,12,3,1,0,12,3,5,3,1,3
153,No,25 - 34,34,R&D,Bachelor's Degree,Medical,Female,Manager,Single,Travel_Rarely,No,6,1354,5,3,45,2,3,1,11631,5615,2,12,3,4,0,14,3,11,10,5,8
154,No,35 - 44,36,Sales,Associates Degree,Technical Degree,Female,Sales Executive,Married,Travel_Frequently,No,6,1467,11,2,92,3,3,4,9738,22952,0,14,3,3,1,10,3,9,7,2,8
155,No,35 - 44,36,R&D,Associates Degree,Life Sciences,Female,Laboratory Technician,Divorced,Travel_Rarely,No,2,922,3,1,39,3,1,4,2835,2561,5,22,4,1,1,7,3,1,0,0,0
158,No,35 - 44,43,Sales,Associates Degree,Life Sciences,Male,Manager,Married,Travel_Frequently,Yes,3,394,26,3,92,3,4,4,16959,19494,1,12,3,4,2,25,4,25,12,4,12
159,No,25 - 34,30,R&D,Bachelor's Degree,Life Sciences,Male,Research Scientist,Divorced,Travel_Frequently,No,2,1312,23,1,96,1,1,3,2613,22310,1,25,4,3,3,10,2,10,7,0,9
160,No,25 - 34,33,Sales,Associates Degree,Marketing,Male,Sales Executive,Married,Non-Travel,No,2,750,22,3,95,3,2,2,6146,15480,0,13,3,1,1,8,4,7,7,0,7
161,Yes,Over 55,56,R&D,Master's Degree,Life Sciences,Female,Research Scientist,Married,Travel_Rarely,Yes,2,441,14,2,72,3,1,2,4963,4510,9,18,3,1,3,7,3,5,4,4,3
162,No,45 - 54,51,R&D,Bachelor's Degree,Life Sciences,Male,Research Director,Single,Travel_Rarely,No,5,684,6,1,51,3,5,3,19537,6462,7,13,3,3,0,23,3,20,18,15,15
163,Yes,25 - 34,31,Sales,Master's Degree,Life Sciences,Male,Sales Executive,Married,Travel_Rarely,Yes,3,249,6,2,76,1,2,3,6172,20739,4,18,3,2,0,12,2,7,7,7,7
164,No,25 - 34,26,R&D,Bachelor's Degree,Other,Female,Research Scientist,Married,Travel_Rarely,No,3,841,6,3,46,2,1,2,2368,23300,1,19,3,3,0,5,2,5,4,4,3
165,Yes,Over 55,58,R&D,Master's Degree,Medical,Female,Healthcare Representative,Married,Travel_Rarely,No,3,147,23,4,94,3,3,4,10312,3465,1,12,3,4,1,40,2,40,10,15,6
167,Yes,Under 25,19,Sales,High School,Marketing,Male,Sales Representative,Single,Travel_Rarely,Yes,2,528,22,4,50,3,1,3,1675,26820,1,19,3,4,0,0,2,0,0,0,0
169,No,Under 25,22,R&D,High School,Technical Degree,Male,Laboratory Technician,Married,Travel_Rarely,No,2,594,2,3,100,3,1,4,2523,19299,0,14,3,3,1,3,3,2,1,2,1
170,No,45 - 54,49,R&D,Master's Degree,Medical,Female,Manufacturing Director,Married,Travel_Rarely,No,2,470,20,3,96,3,2,1,6567,5549,1,14,3,3,0,16,2,15,11,5,11
171,No,35 - 44,43,R&D,Bachelor's Degree,Medical,Female,Research Scientist,Single,Travel_Frequently,No,2,957,28,2,72,4,1,3,4739,16090,4,12,3,4,0,18,3,3,2,1,2
174,No,45 - 54,50,Sales,Bachelor's Degree,Marketing,Female,Sales Executive,Single,Travel_Frequently,No,3,809,12,3,77,3,3,4,9208,6645,4,11,3,4,0,16,3,2,2,2,1
175,Yes,25 - 34,31,Sales,Bachelor's Degree,Life Sciences,Female,Sales Executive,Married,Travel_Rarely,Yes,2,542,20,2,71,1,2,3,4559,24788,3,11,3,3,1,4,3,2,2,2,2
176,No,35 - 44,41,Sales,High School,Life Sciences,Male,Sales Executive,Divorced,Travel_Rarely,Yes,2,802,9,3,96,3,3,3,8189,21196,3,13,3,3,1,12,3,9,7,0,7
177,No,25 - 34,26,HR,High School,Life Sciences,Female,Human Resources,Married,Travel_Rarely,No,3,1355,25,3,61,3,1,3,2942,8916,1,23,4,4,1,8,3,8,7,5,7
